run_id,lane,priority,combo_id,dataset,system_version,hydrological_model,product_type,anchor_status,anchor_date,earliest_success_date,latest_success_date,confidence,attempts_total,attempts_success,attempts_error,notes
scan_20260216T065850Z,reforecast,P1,P1__reforecast__version_3_1__htessel_lisflood__control_reforecast,cems-glofas-reforecast,version_3_1,htessel_lisflood,control_reforecast,not_found,,,,none,24,0,24,no successful anchor in tested days
scan_20260216T065850Z,reforecast,P1,P1__reforecast__version_3_1__htessel_lisflood__ensemble_perturbed_reforecast,cems-glofas-reforecast,version_3_1,htessel_lisflood,ensemble_perturbed_reforecast,not_found,,,,none,24,0,24,no successful anchor in tested days
scan_20260216T065850Z,reforecast,P1,P1__reforecast__version_3_1__lisflood__control_reforecast,cems-glofas-reforecast,version_3_1,lisflood,control_reforecast,found,2002-06-17,2002-01-14,2002-07-11,high,24,12,12,attempt budget exhausted
scan_20260216T065850Z,reforecast,P1,P1__reforecast__version_3_1__lisflood__ensemble_perturbed_reforecast,cems-glofas-reforecast,version_3_1,lisflood,ensemble_perturbed_reforecast,found,2000-02-28,2000-02-28,2000-02-28,high,8,1,7,
scan_20260216T065850Z,reforecast,P2,P2__reforecast__version_4_0__htessel_lisflood__control_reforecast,cems-glofas-reforecast,version_4_0,htessel_lisflood,control_reforecast,not_found,,,,none,24,0,24,no successful anchor in tested days
scan_20260216T065850Z,reforecast,P2,P2__reforecast__version_4_0__htessel_lisflood__ensemble_perturbed_reforecast,cems-glofas-reforecast,version_4_0,htessel_lisflood,ensemble_perturbed_reforecast,not_found,,,,none,24,0,24,no successful anchor in tested days
scan_20260216T065850Z,reforecast,P2,P2__reforecast__version_4_0__lisflood__control_reforecast,cems-glofas-reforecast,version_4_0,lisflood,control_reforecast,found,2021-01-04,2021-01-04,2021-01-04,high,3,1,2,
scan_20260216T065850Z,reforecast,P2,P2__reforecast__version_4_0__lisflood__ensemble_perturbed_reforecast,cems-glofas-reforecast,version_4_0,lisflood,ensemble_perturbed_reforecast,found,2021-01-04,2021-01-04,2021-01-04,high,3,1,2,
scan_20260216T065850Z,historical,P1,P1__historical__version_3_1__htessel_lisflood__consolidated,cems-glofas-historical,version_3_1,htessel_lisflood,consolidated,not_found,,,,none,24,0,24,no successful anchor in tested days
scan_20260216T065850Z,historical,P1,P1__historical__version_3_1__htessel_lisflood__intermediate,cems-glofas-historical,version_3_1,htessel_lisflood,intermediate,not_found,,,,none,24,0,24,no successful anchor in tested days
scan_20260216T065850Z,historical,P1,P1__historical__version_3_1__lisflood__consolidated,cems-glofas-historical,version_3_1,lisflood,consolidated,found,2021-06-15,2021-06-15,2021-10-11,high,15,12,3,
scan_20260216T065850Z,historical,P1,P1__historical__version_3_1__lisflood__intermediate,cems-glofas-historical,version_3_1,lisflood,intermediate,found,2021-06-15,2021-06-15,2021-06-15,high,3,1,2,
scan_20260216T065850Z,historical,P2,P2__historical__version_4_0__htessel_lisflood__consolidated,cems-glofas-historical,version_4_0,htessel_lisflood,consolidated,not_found,,,,none,24,0,24,no successful anchor in tested days
scan_20260216T065850Z,historical,P2,P2__historical__version_4_0__htessel_lisflood__intermediate,cems-glofas-historical,version_4_0,htessel_lisflood,intermediate,not_found,,,,none,24,0,24,no successful anchor in tested days
scan_20260216T065850Z,historical,P2,P2__historical__version_4_0__lisflood__consolidated,cems-glofas-historical,version_4_0,lisflood,consolidated,found,2023-03-27,1979-01-01,2024-08-19,medium,24,24,0,left boundary hit domain start or budget before explicit failure; attempt budget exhausted
scan_20260216T065850Z,historical,P2,P2__historical__version_4_0__lisflood__intermediate,cems-glofas-historical,version_4_0,lisflood,intermediate,not_found,,,,none,24,0,24,no successful anchor in tested days
