discount_set,mean_probe_crps,mean_delta,median_delta,wins,df_t,df_s1,df_s2,df_s67,df_discrep,lambda,df_trans,df_covs
set08,0.21054459999999997,-0.0009644000000000001,0.000752,2,0.99999999,0.9999,0.9999,0.9999,0.999,0.975,0.9999999,0.99999
set07,0.21827800000000003,0.0067692,0.004465,0,0.99999999,0.9999,0.9999,0.9999,0.999,0.98,0.9999999,0.99999
set06,0.22989639999999997,0.018387599999999997,0.001414,2,0.99999999,0.9999,0.9999,0.9999,0.999,0.97,0.9999999,0.9999
set05,0.2440188,0.03251,0.004121,1,0.99999999,0.9995,0.9995,0.9999,0.999,0.97,0.9999999,0.99995
set09,0.2555116,0.044002599999999996,0.007841,1,0.99999999,0.9998,0.9998,0.9999,0.998,0.97,0.9999999,0.9999999
set01,0.26640499999999995,0.05489619999999999,0.043602,0,0.99999,0.9999,0.9999,0.9999,0.9999,0.97,0.9999999,0.99995
set04,0.2715984,0.0600896,0.072597,0,0.99999999,0.9999,0.9999,0.9999,0.99999,0.97,0.9999999,0.99999
set03,0.28492740000000005,0.0734186,0.071811,0,0.99999999,0.9995,0.9995,0.9999,0.9999,0.97,0.9999999,0.99999
set02,0.3172058,0.105697,0.008775,1,0.99999999,0.9995,0.9995,0.9999,0.998,0.97,0.9999999,0.99999
