timestamp_utc,combo_id,lane,priority,dataset,system_version,hydrological_model,product_type,probe_date,status,ok,error_class,error_message,bytes,source,output_path,request_json
2026-02-16T03:35:15Z,P2__forecast__operational__lisflood__control_forecast,forecast,P2,cems-glofas-forecast,operational,lisflood,control_forecast,2023-03-27,ok,1,,,303,local,repro/glofas_coverage_scan_runs/refine_20260216T033350Z/downloads/forecast/P2__forecast__operational__lisflood__control_forecast/2023-03-27.zip,"{""area"": [37.2443931, -122.272464, 36.8443931, -121.872464], ""data_format"": ""grib2"", ""day"": [""27""], ""download_format"": ""zip"", ""hydrological_model"": [""lisflood""], ""leadtime_hour"": [""24""], ""month"": [""03""], ""product_type"": [""control_forecast""], ""system_version"": [""operational""], ""variable"": [""river_discharge_in_the_last_24_hours""], ""year"": [""2023""]}"
2026-02-16T03:35:32Z,P2__forecast__operational__lisflood__control_forecast,forecast,P2,cems-glofas-forecast,operational,lisflood,control_forecast,2023-03-26,ok,1,,,305,local,repro/glofas_coverage_scan_runs/refine_20260216T033350Z/downloads/forecast/P2__forecast__operational__lisflood__control_forecast/2023-03-26.zip,"{""area"": [37.2443931, -122.272464, 36.8443931, -121.872464], ""data_format"": ""grib2"", ""day"": [""26""], ""download_format"": ""zip"", ""hydrological_model"": [""lisflood""], ""leadtime_hour"": [""24""], ""month"": [""03""], ""product_type"": [""control_forecast""], ""system_version"": [""operational""], ""variable"": [""river_discharge_in_the_last_24_hours""], ""year"": [""2023""]}"
2026-02-16T03:35:49Z,P2__forecast__operational__lisflood__control_forecast,forecast,P2,cems-glofas-forecast,operational,lisflood,control_forecast,2023-03-28,ok,1,,,304,local,repro/glofas_coverage_scan_runs/refine_20260216T033350Z/downloads/forecast/P2__forecast__operational__lisflood__control_forecast/2023-03-28.zip,"{""area"": [37.2443931, -122.272464, 36.8443931, -121.872464], ""data_format"": ""grib2"", ""day"": [""28""], ""download_format"": ""zip"", ""hydrological_model"": [""lisflood""], ""leadtime_hour"": [""24""], ""month"": [""03""], ""product_type"": [""control_forecast""], ""system_version"": [""operational""], ""variable"": [""river_discharge_in_the_last_24_hours""], ""year"": [""2023""]}"
2026-02-16T03:36:06Z,P2__forecast__operational__lisflood__control_forecast,forecast,P2,cems-glofas-forecast,operational,lisflood,control_forecast,2023-03-25,ok,1,,,306,local,repro/glofas_coverage_scan_runs/refine_20260216T033350Z/downloads/forecast/P2__forecast__operational__lisflood__control_forecast/2023-03-25.zip,"{""area"": [37.2443931, -122.272464, 36.8443931, -121.872464], ""data_format"": ""grib2"", ""day"": [""25""], ""download_format"": ""zip"", ""hydrological_model"": [""lisflood""], ""leadtime_hour"": [""24""], ""month"": [""03""], ""product_type"": [""control_forecast""], ""system_version"": [""operational""], ""variable"": [""river_discharge_in_the_last_24_hours""], ""year"": [""2023""]}"
2026-02-16T03:36:23Z,P2__forecast__operational__lisflood__control_forecast,forecast,P2,cems-glofas-forecast,operational,lisflood,control_forecast,2023-03-29,ok,1,,,305,local,repro/glofas_coverage_scan_runs/refine_20260216T033350Z/downloads/forecast/P2__forecast__operational__lisflood__control_forecast/2023-03-29.zip,"{""area"": [37.2443931, -122.272464, 36.8443931, -121.872464], ""data_format"": ""grib2"", ""day"": [""29""], ""download_format"": ""zip"", ""hydrological_model"": [""lisflood""], ""leadtime_hour"": [""24""], ""month"": [""03""], ""product_type"": [""control_forecast""], ""system_version"": [""operational""], ""variable"": [""river_discharge_in_the_last_24_hours""], ""year"": [""2023""]}"
