run_id,lane,priority,combo_id,dataset,system_version,hydrological_model,product_type,anchor_status,anchor_date,earliest_success_date,latest_success_date,confidence,attempts_total,attempts_success,attempts_error,notes
scan_20260216T015036Z,reforecast,P1,P1__reforecast__version_3_1__htessel_lisflood__control_reforecast,cems-glofas-reforecast,version_3_1,htessel_lisflood,control_reforecast,not_found,,,,none,8,0,8,no successful anchor in tested days
scan_20260216T015036Z,reforecast,P1,P1__reforecast__version_3_1__htessel_lisflood__ensemble_perturbed_reforecast,cems-glofas-reforecast,version_3_1,htessel_lisflood,ensemble_perturbed_reforecast,not_found,,,,none,8,0,8,no successful anchor in tested days
scan_20260216T015036Z,reforecast,P1,P1__reforecast__version_3_1__lisflood__control_reforecast,cems-glofas-reforecast,version_3_1,lisflood,control_reforecast,not_found,,,,none,8,0,8,no successful anchor in tested days
scan_20260216T015036Z,reforecast,P1,P1__reforecast__version_3_1__lisflood__ensemble_perturbed_reforecast,cems-glofas-reforecast,version_3_1,lisflood,ensemble_perturbed_reforecast,not_found,,,,none,8,0,8,no successful anchor in tested days
scan_20260216T015036Z,reforecast,P2,P2__reforecast__version_4_0__htessel_lisflood__control_reforecast,cems-glofas-reforecast,version_4_0,htessel_lisflood,control_reforecast,not_found,,,,none,8,0,8,no successful anchor in tested days
scan_20260216T015036Z,reforecast,P2,P2__reforecast__version_4_0__htessel_lisflood__ensemble_perturbed_reforecast,cems-glofas-reforecast,version_4_0,htessel_lisflood,ensemble_perturbed_reforecast,not_found,,,,none,8,0,8,no successful anchor in tested days
scan_20260216T015036Z,reforecast,P2,P2__reforecast__version_4_0__lisflood__control_reforecast,cems-glofas-reforecast,version_4_0,lisflood,control_reforecast,found,2021-01-04,2021-01-04,2021-01-04,high,3,1,2,
scan_20260216T015036Z,reforecast,P2,P2__reforecast__version_4_0__lisflood__ensemble_perturbed_reforecast,cems-glofas-reforecast,version_4_0,lisflood,ensemble_perturbed_reforecast,found,2021-01-04,2021-01-04,2021-01-04,high,3,1,2,
scan_20260216T015036Z,reforecast,P3,P3__reforecast__version_2_2__htessel_lisflood__control_reforecast,cems-glofas-reforecast,version_2_2,htessel_lisflood,control_reforecast,not_found,,,,none,8,0,8,no successful anchor in tested days
scan_20260216T015036Z,reforecast,P3,P3__reforecast__version_2_2__htessel_lisflood__ensemble_perturbed_reforecast,cems-glofas-reforecast,version_2_2,htessel_lisflood,ensemble_perturbed_reforecast,not_found,,,,none,8,0,8,no successful anchor in tested days
scan_20260216T015036Z,reforecast,P3,P3__reforecast__version_2_2__lisflood__control_reforecast,cems-glofas-reforecast,version_2_2,lisflood,control_reforecast,not_found,,,,none,8,0,8,no successful anchor in tested days
scan_20260216T015036Z,reforecast,P3,P3__reforecast__version_2_2__lisflood__ensemble_perturbed_reforecast,cems-glofas-reforecast,version_2_2,lisflood,ensemble_perturbed_reforecast,not_found,,,,none,8,0,8,no successful anchor in tested days
scan_20260216T015036Z,forecast,P1,P1__forecast__version_3_1__htessel_lisflood__control_forecast,cems-glofas-forecast,version_3_1,htessel_lisflood,control_forecast,not_found,,,,none,8,0,8,no successful anchor in tested days
scan_20260216T015036Z,forecast,P1,P1__forecast__version_3_1__htessel_lisflood__ensemble_perturbed_forecasts,cems-glofas-forecast,version_3_1,htessel_lisflood,ensemble_perturbed_forecasts,not_found,,,,none,8,0,8,no successful anchor in tested days
scan_20260216T015036Z,forecast,P1,P1__forecast__version_3_1__lisflood__control_forecast,cems-glofas-forecast,version_3_1,lisflood,control_forecast,not_found,,,,none,8,0,8,no successful anchor in tested days
scan_20260216T015036Z,forecast,P1,P1__forecast__version_3_1__lisflood__ensemble_perturbed_forecasts,cems-glofas-forecast,version_3_1,lisflood,ensemble_perturbed_forecasts,not_found,,,,none,8,0,8,no successful anchor in tested days
scan_20260216T015036Z,forecast,P2,P2__forecast__operational__htessel_lisflood__control_forecast,cems-glofas-forecast,operational,htessel_lisflood,control_forecast,found,2019-11-05,2019-11-05,2019-12-06,medium,8,6,2,left boundary hit domain start or budget before explicit failure; attempt budget exhausted
scan_20260216T015036Z,forecast,P2,P2__forecast__operational__htessel_lisflood__ensemble_perturbed_forecasts,cems-glofas-forecast,operational,htessel_lisflood,ensemble_perturbed_forecasts,found,2019-11-05,2019-11-05,2019-12-06,medium,8,6,2,left boundary hit domain start or budget before explicit failure; attempt budget exhausted
scan_20260216T015036Z,forecast,P2,P2__forecast__operational__lisflood__control_forecast,cems-glofas-forecast,operational,lisflood,control_forecast,found,2023-03-27,2023-03-27,2023-03-27,high,4,1,3,
scan_20260216T015036Z,forecast,P2,P2__forecast__operational__lisflood__ensemble_perturbed_forecasts,cems-glofas-forecast,operational,lisflood,ensemble_perturbed_forecasts,not_found,,,,none,8,0,8,no successful anchor in tested days
scan_20260216T015036Z,forecast,P3,P3__forecast__version_2_1__htessel_lisflood__control_forecast,cems-glofas-forecast,version_2_1,htessel_lisflood,control_forecast,not_found,,,,none,8,0,8,no successful anchor in tested days
scan_20260216T015036Z,forecast,P3,P3__forecast__version_2_1__htessel_lisflood__ensemble_perturbed_forecasts,cems-glofas-forecast,version_2_1,htessel_lisflood,ensemble_perturbed_forecasts,not_found,,,,none,8,0,8,no successful anchor in tested days
scan_20260216T015036Z,forecast,P3,P3__forecast__version_2_1__lisflood__control_forecast,cems-glofas-forecast,version_2_1,lisflood,control_forecast,not_found,,,,none,8,0,8,no successful anchor in tested days
scan_20260216T015036Z,forecast,P3,P3__forecast__version_2_1__lisflood__ensemble_perturbed_forecasts,cems-glofas-forecast,version_2_1,lisflood,ensemble_perturbed_forecasts,not_found,,,,none,8,0,8,no successful anchor in tested days
scan_20260216T015036Z,historical,P1,P1__historical__version_3_1__htessel_lisflood__consolidated,cems-glofas-historical,version_3_1,htessel_lisflood,consolidated,not_found,,,,none,8,0,8,no successful anchor in tested days
scan_20260216T015036Z,historical,P1,P1__historical__version_3_1__htessel_lisflood__intermediate,cems-glofas-historical,version_3_1,htessel_lisflood,intermediate,not_found,,,,none,8,0,8,no successful anchor in tested days
scan_20260216T015036Z,historical,P1,P1__historical__version_3_1__lisflood__consolidated,cems-glofas-historical,version_3_1,lisflood,consolidated,found,2021-06-15,2021-02-08,2021-06-15,high,8,8,0,attempt budget exhausted
scan_20260216T015036Z,historical,P1,P1__historical__version_3_1__lisflood__intermediate,cems-glofas-historical,version_3_1,lisflood,intermediate,found,2021-06-15,2021-06-04,2021-06-15,high,8,5,3,attempt budget exhausted
scan_20260216T015036Z,historical,P2,P2__historical__version_4_0__htessel_lisflood__consolidated,cems-glofas-historical,version_4_0,htessel_lisflood,consolidated,not_found,,,,none,8,0,8,no successful anchor in tested days
scan_20260216T015036Z,historical,P2,P2__historical__version_4_0__htessel_lisflood__intermediate,cems-glofas-historical,version_4_0,htessel_lisflood,intermediate,not_found,,,,none,8,0,8,no successful anchor in tested days
scan_20260216T015036Z,historical,P2,P2__historical__version_4_0__lisflood__consolidated,cems-glofas-historical,version_4_0,lisflood,consolidated,found,1979-09-28,1979-09-28,1979-09-28,high,8,1,7,attempt budget exhausted
scan_20260216T015036Z,historical,P2,P2__historical__version_4_0__lisflood__intermediate,cems-glofas-historical,version_4_0,lisflood,intermediate,not_found,,,,none,8,0,8,no successful anchor in tested days
