combo_id,lane,priority,dataset,system_version,hydrological_model,product_type,baseline_anchor_status,baseline_earliest,baseline_latest,refined_anchor_status,refined_anchor_date,refined_earliest,refined_latest,lower_bound_check,upper_bound_check,boundary_confidence,attempts_total,attempts_ok,attempts_error,invalid_request_count,timeout_count,notes,boundary_confidence_adjusted,adjustment_notes
P1__historical__version_3_1__htessel_lisflood__consolidated,historical,P1,cems-glofas-historical,version_3_1,htessel_lisflood,consolidated,not_found,,,not_found,,,,not_tested,not_tested,none,3,0,3,3,0,no anchor; tested points consistently invalid_request (likely unsupported combo),none,
P1__historical__version_3_1__htessel_lisflood__intermediate,historical,P1,cems-glofas-historical,version_3_1,htessel_lisflood,intermediate,not_found,,,not_found,,,,not_tested,not_tested,none,3,0,3,3,0,no anchor; tested points consistently invalid_request (likely unsupported combo),none,
P1__historical__version_3_1__lisflood__consolidated,historical,P1,cems-glofas-historical,version_3_1,lisflood,consolidated,found,2021-06-15,2021-10-11,found,2021-06-15,1979-01-01,2024-06-30,at_domain_start,bracketed,medium,35,30,5,5,0,,high,"lower boundary externally bracketed via probe_20260216T075054Z (1978-12-31 invalid, 1979-01-01 ok)"
P1__historical__version_3_1__lisflood__intermediate,historical,P1,cems-glofas-historical,version_3_1,lisflood,intermediate,found,2021-06-15,2021-06-15,found,2021-06-15,2021-01-01,2024-09-23,bracketed,bracketed,high,37,24,13,13,0,,high,
P1__reforecast__version_3_1__htessel_lisflood__control_reforecast,reforecast,P1,cems-glofas-reforecast,version_3_1,htessel_lisflood,control_reforecast,not_found,,,not_found,,,,not_tested,not_tested,none,3,0,3,3,0,no anchor; tested points consistently invalid_request (likely unsupported combo),none,
P1__reforecast__version_3_1__htessel_lisflood__ensemble_perturbed_reforecast,reforecast,P1,cems-glofas-reforecast,version_3_1,htessel_lisflood,ensemble_perturbed_reforecast,not_found,,,not_found,,,,not_tested,not_tested,none,3,0,3,3,0,no anchor; tested points consistently invalid_request (likely unsupported combo),none,
P1__reforecast__version_3_1__lisflood__control_reforecast,reforecast,P1,cems-glofas-reforecast,version_3_1,lisflood,control_reforecast,found,2002-01-14,2002-07-11,found,2002-06-17,2002-01-03,2002-07-11,bracketed,bracketed,high,9,5,4,3,1,,high,
P1__reforecast__version_3_1__lisflood__ensemble_perturbed_reforecast,reforecast,P1,cems-glofas-reforecast,version_3_1,lisflood,ensemble_perturbed_reforecast,found,2000-02-28,2000-02-28,found,2000-02-28,2000-02-28,2000-02-28,bracketed,bracketed,high,3,1,2,2,0,point anchor,high,
P2__historical__version_4_0__htessel_lisflood__consolidated,historical,P2,cems-glofas-historical,version_4_0,htessel_lisflood,consolidated,not_found,,,not_found,,,,not_tested,not_tested,none,3,0,3,3,0,no anchor; tested points consistently invalid_request (likely unsupported combo),none,
P2__historical__version_4_0__htessel_lisflood__intermediate,historical,P2,cems-glofas-historical,version_4_0,htessel_lisflood,intermediate,not_found,,,not_found,,,,not_tested,not_tested,none,3,0,3,3,0,no anchor; tested points consistently invalid_request (likely unsupported combo),none,
P2__historical__version_4_0__lisflood__consolidated,historical,P2,cems-glofas-historical,version_4_0,lisflood,consolidated,found,1979-01-01,2024-08-19,found,2023-03-27,1979-01-01,2025-11-30,at_domain_start,bracketed,medium,33,29,4,4,0,,high,"lower boundary externally bracketed via probe_20260216T075054Z (1978-12-31 invalid, 1979-01-01 ok)"
P2__historical__version_4_0__lisflood__intermediate,historical,P2,cems-glofas-historical,version_4_0,lisflood,intermediate,not_found,,,not_found,,,,not_tested,not_tested,none,3,0,3,3,0,no anchor; tested points consistently invalid_request (likely unsupported combo),none,
P2__reforecast__version_4_0__htessel_lisflood__control_reforecast,reforecast,P2,cems-glofas-reforecast,version_4_0,htessel_lisflood,control_reforecast,not_found,,,not_found,,,,not_tested,not_tested,none,3,0,3,3,0,no anchor; tested points consistently invalid_request (likely unsupported combo),none,
P2__reforecast__version_4_0__htessel_lisflood__ensemble_perturbed_reforecast,reforecast,P2,cems-glofas-reforecast,version_4_0,htessel_lisflood,ensemble_perturbed_reforecast,not_found,,,not_found,,,,not_tested,not_tested,none,3,0,3,3,0,no anchor; tested points consistently invalid_request (likely unsupported combo),none,
P2__reforecast__version_4_0__lisflood__control_reforecast,reforecast,P2,cems-glofas-reforecast,version_4_0,lisflood,control_reforecast,found,2021-01-04,2021-01-04,found,2021-01-04,2021-01-04,2021-01-04,bracketed,bracketed,high,3,1,2,2,0,point anchor,high,
P2__reforecast__version_4_0__lisflood__ensemble_perturbed_reforecast,reforecast,P2,cems-glofas-reforecast,version_4_0,lisflood,ensemble_perturbed_reforecast,found,2021-01-04,2021-01-04,found,2021-01-04,2021-01-04,2021-01-04,bracketed,bracketed,high,3,1,2,2,0,point anchor,high,
