cutoff,rank_within_cutoff,model_variant,class,transfer_mode,horizon_days,forecast_window_crps,best_epsilon_label,best_epsilon_value,best_c_factor,selection_basis,source_run_id,discount_case_id,df_t,df_s1,df_s2,df_s67,df_discrep,lambda,df_trans,df_covs
20210123,1,exdqlm_multivar_keep,bayes,keep,28,0.1397088548478634,c04_eps365,365.0,1.0,authoritative_exdqlm_keep_winner_manifest_20260601,multimodel_20210123_v8_he2grid_c04_eps365_exdqlm_multivar_keep,c04,0.9995,0.999,0.999,0.9995,0.999,0.97,0.9999999,0.99999
20210123,2,exdqlm_multivar_drop,bayes,drop,28,1.221502585699614,publication_manifest,365.0,1.0,he2_publication_manifest_exal_m_t0_for_he3_notf_delta,multimodel_20210123_v8_he2pubgdpc1r1_exdqlm_multivar_drop,,,,,,,,,
20211112,1,exdqlm_multivar_keep,bayes,keep,28,0.0472363501409807,c04_eps365,365.0,1.0,authoritative_exdqlm_keep_winner_manifest_20260601,multimodel_20211112_v8_he2grid_c04_eps365_exdqlm_multivar_keep,c04,0.9995,0.999,0.999,0.9995,0.999,0.97,0.9999999,0.99999
20211112,2,exdqlm_multivar_drop,bayes,drop,28,1.798676352897812,publication_manifest,365.0,1.0,he2_publication_manifest_exal_m_t0_for_he3_notf_delta,multimodel_20211112_v8_he2pubgdpc1r1_exdqlm_multivar_drop,,,,,,,,,
20211221,1,exdqlm_multivar_keep,bayes,keep,28,0.2653720407651523,c03_eps030,30.0,1.0,authoritative_exdqlm_keep_winner_manifest_20260601,multimodel_20211221_v8_he2grid_c03_eps030_exdqlm_multivar_keep,c03,0.99995,0.9995,0.9995,0.9995,0.999,0.97,0.9999999,0.99999
20211221,2,exdqlm_multivar_drop,bayes,drop,28,1.0850304621733662,publication_manifest,30.0,1.0,he2_publication_manifest_exal_m_t0_for_he3_notf_delta,multimodel_20211221_v8_he2pubgdpc1r1_exdqlm_multivar_drop,,,,,,,,,
20220511,1,exdqlm_multivar_keep,bayes,keep,28,0.0323251196672885,c02_eps060,60.0,1.0,authoritative_exdqlm_keep_winner_manifest_20260601,multimodel_20220511_v8_he2grid_c02_eps060_exdqlm_multivar_keep,c02,0.99995,0.9995,0.9995,0.9995,0.999,0.97,0.9999999,0.9999999
20220511,2,exdqlm_multivar_drop,bayes,drop,28,2.13102366606868,publication_manifest,60.0,1.0,he2_publication_manifest_exal_m_t0_for_he3_notf_delta,multimodel_20220511_v8_he2pubgdpc1r1_exdqlm_multivar_drop,,,,,,,,,
20221225,1,exdqlm_multivar_keep,bayes,keep,28,0.6654596601212303,c05_eps030,30.0,1.0,authoritative_exdqlm_keep_winner_manifest_20260601,multimodel_20221225_v8_he2grid_c05_eps030_exdqlm_multivar_keep,c05,0.9999,0.9993,0.9993,0.9995,0.9988,0.97,0.9999999,0.99999
20221225,2,exdqlm_multivar_drop,bayes,drop,28,1.2113191493945392,publication_manifest,30.0,1.0,he2_publication_manifest_exal_m_t0_for_he3_notf_delta,multimodel_20221225_v8_he2pubgdpc1r1_exdqlm_multivar_drop,,,,,,,,,
