run_id,lane,priority,combo_id,dataset,system_version,hydrological_model,product_type,anchor_status,anchor_date,earliest_success_date,latest_success_date,confidence,attempts_total,attempts_success,attempts_error,notes
scan_20260216T012813Z,forecast,P1,P1__forecast__version_3_1__htessel_lisflood__control_forecast,cems-glofas-forecast,version_3_1,htessel_lisflood,control_forecast,not_found,,,,none,6,0,0,no successful anchor in tested days
scan_20260216T012813Z,forecast,P1,P1__forecast__version_3_1__lisflood__control_forecast,cems-glofas-forecast,version_3_1,lisflood,control_forecast,not_found,,,,none,6,0,0,no successful anchor in tested days
scan_20260216T012813Z,forecast,P2,P2__forecast__operational__htessel_lisflood__control_forecast,cems-glofas-forecast,operational,htessel_lisflood,control_forecast,not_found,,,,none,6,0,0,no successful anchor in tested days
scan_20260216T012813Z,forecast,P2,P2__forecast__operational__lisflood__control_forecast,cems-glofas-forecast,operational,lisflood,control_forecast,not_found,,,,none,6,0,0,no successful anchor in tested days
scan_20260216T012813Z,forecast,P3,P3__forecast__version_2_1__htessel_lisflood__control_forecast,cems-glofas-forecast,version_2_1,htessel_lisflood,control_forecast,not_found,,,,none,6,0,0,no successful anchor in tested days
scan_20260216T012813Z,forecast,P3,P3__forecast__version_2_1__lisflood__control_forecast,cems-glofas-forecast,version_2_1,lisflood,control_forecast,not_found,,,,none,6,0,0,no successful anchor in tested days
scan_20260216T012813Z,reforecast,P1,P1__reforecast__version_3_1__htessel_lisflood__control_reforecast,cems-glofas-reforecast,version_3_1,htessel_lisflood,control_reforecast,not_found,,,,none,6,0,0,no successful anchor in tested days
scan_20260216T012813Z,reforecast,P1,P1__reforecast__version_3_1__lisflood__control_reforecast,cems-glofas-reforecast,version_3_1,lisflood,control_reforecast,not_found,,,,none,6,0,0,no successful anchor in tested days
scan_20260216T012813Z,reforecast,P2,P2__reforecast__version_4_0__htessel_lisflood__control_reforecast,cems-glofas-reforecast,version_4_0,htessel_lisflood,control_reforecast,not_found,,,,none,6,0,0,no successful anchor in tested days
scan_20260216T012813Z,reforecast,P2,P2__reforecast__version_4_0__lisflood__control_reforecast,cems-glofas-reforecast,version_4_0,lisflood,control_reforecast,not_found,,,,none,6,0,0,no successful anchor in tested days
scan_20260216T012813Z,reforecast,P3,P3__reforecast__version_2_2__htessel_lisflood__control_reforecast,cems-glofas-reforecast,version_2_2,htessel_lisflood,control_reforecast,not_found,,,,none,6,0,0,no successful anchor in tested days
scan_20260216T012813Z,reforecast,P3,P3__reforecast__version_2_2__lisflood__control_reforecast,cems-glofas-reforecast,version_2_2,lisflood,control_reforecast,not_found,,,,none,6,0,0,no successful anchor in tested days
scan_20260216T012813Z,historical,P1,P1__historical__version_3_1__htessel_lisflood__consolidated,cems-glofas-historical,version_3_1,htessel_lisflood,consolidated,not_found,,,,none,6,0,0,no successful anchor in tested days
scan_20260216T012813Z,historical,P1,P1__historical__version_3_1__lisflood__consolidated,cems-glofas-historical,version_3_1,lisflood,consolidated,not_found,,,,none,6,0,0,no successful anchor in tested days
scan_20260216T012813Z,historical,P2,P2__historical__version_4_0__htessel_lisflood__consolidated,cems-glofas-historical,version_4_0,htessel_lisflood,consolidated,not_found,,,,none,6,0,0,no successful anchor in tested days
scan_20260216T012813Z,historical,P2,P2__historical__version_4_0__lisflood__consolidated,cems-glofas-historical,version_4_0,lisflood,consolidated,not_found,,,,none,6,0,0,no successful anchor in tested days
scan_20260216T012813Z,historical,P3,P3__historical__version_2_1__htessel_lisflood__consolidated,cems-glofas-historical,version_2_1,htessel_lisflood,consolidated,not_found,,,,none,6,0,0,no successful anchor in tested days
scan_20260216T012813Z,historical,P3,P3__historical__version_2_1__lisflood__consolidated,cems-glofas-historical,version_2_1,lisflood,consolidated,not_found,,,,none,6,0,0,no successful anchor in tested days
