cutoff,cutoff_display,manuscript_label,family,run_id,campaign_lineage,publication_crps_display4,selected_spec_token,resolved_config_path,frozen_resolved_config_path,resolved_config_sha256,fit_parallel_workers_source,source_matrix_epsilon_label,source_matrix_epsilon_value,effective_c_factor_fit,effective_epsilon_fit,lam1_fit,lam2_fit,discount_set,discount_set_index,discount_source_epsilon_label,discount_exact_source_snapshot_root,df_t,df_s1,df_s2,df_s67,df_discrep,lambda,df_trans,df_covs,epsilon_alignment_note
20210123,01/23/2021,exAL-M-T1,exdqlm_multivar_keep,multimodel_20210123_v8_eps360cf1_exdqlm_multivar_keep_featurecov_cf1,featurecov_cf1_eps_sweep_20260416,0.1569,eps360cf1,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_featurecov_cf1_eps_sweep_20260416/runs/multimodel_20210123_v8_eps360cf1_exdqlm_multivar_keep_featurecov_cf1/resolved_config.yaml,/data/muscat_data/jaguir26/project1_ucsc_phd/reports/he2_exdqlm_multivar_keep_rerun_contract_20260516/source_config_freeze/20210123_exAL_M_T1_exdqlm_multivar_keep.resolved_config.yaml,190ca23a5e26adcfde779b3f75bcfa5b19e480b17737356cfd5c30f606166998,14,eps180cf1,180.0,1.0,360.0,1.0,1.0,,,,,0.99999999,0.9999,0.9999,0.9999,0.999,0.97,0.9999999,0.99999,debug_v8_matrix epsilon label/value differ from effective exdqlm fit epsilon; trust fit.exdqlm_multivar.legacy.forecast_cov.epsilon
20211112,11/12/2021,exAL-M-T1,exdqlm_multivar_keep,multimodel_20211112_v8_eps180cf1_exdqlm_multivar_keep_featurecov_cf1,featurecov_cf1_eps_sweep_20260416,0.0284,eps180cf1,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_featurecov_cf1_eps_sweep_20260416/runs/multimodel_20211112_v8_eps180cf1_exdqlm_multivar_keep_featurecov_cf1/resolved_config.yaml,/data/muscat_data/jaguir26/project1_ucsc_phd/reports/he2_exdqlm_multivar_keep_rerun_contract_20260516/source_config_freeze/20211112_exAL_M_T1_exdqlm_multivar_keep.resolved_config.yaml,a9616a0b846f10b4982dd73a1ecff3d57e235f74ec52177dd03d35626adc4b08,14,epsTTcf1,,1.0,180.0,1.0,1.0,,,,,0.99999999,0.9999,0.9999,0.9999,0.999,0.97,0.9999999,0.99999,
20211221,12/21/2021,exAL-M-T1,exdqlm_multivar_keep,multimodel_20211221_v8_eps1cf1_exdqlm_multivar_keep_featurecov_cf1,featurecov_cf1_eps_sweep_20260416,0.2369,eps1cf1,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_featurecov_cf1_eps_sweep_20260416/runs/multimodel_20211221_v8_eps1cf1_exdqlm_multivar_keep_featurecov_cf1/resolved_config.yaml,/data/muscat_data/jaguir26/project1_ucsc_phd/reports/he2_exdqlm_multivar_keep_rerun_contract_20260516/source_config_freeze/20211221_exAL_M_T1_exdqlm_multivar_keep.resolved_config.yaml,57b154a07da04c868d264e2c38df3f029346cd56cf0666bd53b8ced3861a3a6e,14,eps90,90.0,1.0,1.0,1.0,1.0,,,,,0.99999999,0.9999,0.9999,0.9999,0.999,0.97,0.9999999,0.99999,debug_v8_matrix epsilon label/value differ from effective exdqlm fit epsilon; trust fit.exdqlm_multivar.legacy.forecast_cov.epsilon
20220511,05/11/2022,exAL-M-T1,exdqlm_multivar_keep,multimodel_20220511_v8_eps180cf1_exdqlm_multivar_keep_featurecov_cf1,featurecov_cf1_eps_sweep_20260416,0.0210,eps180cf1,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_featurecov_cf1_eps_sweep_20260416/runs/multimodel_20220511_v8_eps180cf1_exdqlm_multivar_keep_featurecov_cf1/resolved_config.yaml,/data/muscat_data/jaguir26/project1_ucsc_phd/reports/he2_exdqlm_multivar_keep_rerun_contract_20260516/source_config_freeze/20220511_exAL_M_T1_exdqlm_multivar_keep.resolved_config.yaml,5b179865dad8a51cf343627d6be13a76be168cbd7509119a9bc9d0469c2c4b46,22,epsTT,,1.0,180.0,1.0,1.0,,,,,0.99999999,0.9999,0.9999,0.9999,0.999,0.97,0.9999999,0.99999,
20221225,12/25/2022,exAL-M-T1,exdqlm_multivar_keep,multimodel_20221225_v8_exalm_t1_discount_grid_exact_v1_set09_exdqlm_multivar_keep,exalm_t1_discount_grid_exact_20260424:set09_override,0.4375,set09,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_exalm_t1_discount_grid_exact_20260424/runs/multimodel_20221225_v8_exalm_t1_discount_grid_exact_v1_set09_exdqlm_multivar_keep/resolved_config.yaml,/data/muscat_data/jaguir26/project1_ucsc_phd/reports/he2_exdqlm_multivar_keep_rerun_contract_20260516/source_config_freeze/20221225_exAL_M_T1_exdqlm_multivar_keep.resolved_config.yaml,405e1299d242f4fb6bb453f595801657a7f97dc2586b30747e910a457086aa65,14,eps90cf1,90.0,1.0,360.0,1.0,1.0,set09,9,eps360cf1,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_featurecov_cf1_eps_sweep_20260416/runs/multimodel_20221225_v8_eps360cf1_exdqlm_multivar_keep_featurecov_cf1/inputs/shared,0.99999999,0.9998,0.9998,0.9999,0.998,0.97,0.9999999,0.9999999,debug_v8_matrix epsilon label/value differ from effective exdqlm fit epsilon; trust fit.exdqlm_multivar.legacy.forecast_cov.epsilon
