combo_id,lane,priority,dataset,system_version,hydrological_model,product_type,baseline_anchor_status,baseline_earliest,baseline_latest,refined_anchor_status,refined_anchor_date,refined_earliest,refined_latest,lower_bound_check,upper_bound_check,boundary_confidence,attempts_total,attempts_ok,attempts_error,invalid_request_count,timeout_count,notes
P1__forecast__version_3_1__htessel_lisflood__control_forecast,forecast,P1,cems-glofas-forecast,version_3_1,htessel_lisflood,control_forecast,not_found,,,not_found,,,,not_tested,not_tested,none,3,0,3,3,0,no anchor; tested points consistently invalid_request (likely unsupported combo)
P1__forecast__version_3_1__htessel_lisflood__ensemble_perturbed_forecasts,forecast,P1,cems-glofas-forecast,version_3_1,htessel_lisflood,ensemble_perturbed_forecasts,not_found,,,not_found,,,,not_tested,not_tested,none,3,0,3,3,0,no anchor; tested points consistently invalid_request (likely unsupported combo)
P1__forecast__version_3_1__lisflood__control_forecast,forecast,P1,cems-glofas-forecast,version_3_1,lisflood,control_forecast,not_found,,,not_found,,,,not_tested,not_tested,none,3,0,3,3,0,no anchor; tested points consistently invalid_request (likely unsupported combo)
P1__forecast__version_3_1__lisflood__ensemble_perturbed_forecasts,forecast,P1,cems-glofas-forecast,version_3_1,lisflood,ensemble_perturbed_forecasts,not_found,,,not_found,,,,not_tested,not_tested,none,3,0,3,3,0,no anchor; tested points consistently invalid_request (likely unsupported combo)
P1__historical__version_3_1__htessel_lisflood__consolidated,historical,P1,cems-glofas-historical,version_3_1,htessel_lisflood,consolidated,not_found,,,not_found,,,,not_tested,not_tested,none,3,0,3,3,0,no anchor; tested points consistently invalid_request (likely unsupported combo)
P1__historical__version_3_1__htessel_lisflood__intermediate,historical,P1,cems-glofas-historical,version_3_1,htessel_lisflood,intermediate,not_found,,,not_found,,,,not_tested,not_tested,none,3,0,3,3,0,no anchor; tested points consistently invalid_request (likely unsupported combo)
P1__historical__version_3_1__lisflood__consolidated,historical,P1,cems-glofas-historical,version_3_1,lisflood,consolidated,found,2021-02-08,2021-06-15,found,2021-06-15,2021-02-07,2021-06-16,not_bracketed_prev_success,not_bracketed_next_success,medium,6,6,0,0,0,
P1__historical__version_3_1__lisflood__intermediate,historical,P1,cems-glofas-historical,version_3_1,lisflood,intermediate,found,2021-06-04,2021-06-15,found,2021-06-15,2021-06-03,2021-06-16,not_bracketed_prev_success,not_bracketed_next_success,medium,6,6,0,0,0,
P1__reforecast__version_3_1__htessel_lisflood__control_reforecast,reforecast,P1,cems-glofas-reforecast,version_3_1,htessel_lisflood,control_reforecast,not_found,,,not_found,,,,not_tested,not_tested,none,3,0,3,3,0,no anchor; tested points consistently invalid_request (likely unsupported combo)
P1__reforecast__version_3_1__htessel_lisflood__ensemble_perturbed_reforecast,reforecast,P1,cems-glofas-reforecast,version_3_1,htessel_lisflood,ensemble_perturbed_reforecast,not_found,,,not_found,,,,not_tested,not_tested,none,3,0,3,3,0,no anchor; tested points consistently invalid_request (likely unsupported combo)
