combo_id,lane,priority,dataset,system_version,hydrological_model,product_type,baseline_anchor_status,baseline_earliest,baseline_latest,refined_anchor_status,refined_anchor_date,refined_earliest,refined_latest,lower_bound_check,upper_bound_check,boundary_confidence,attempts_total,attempts_ok,attempts_error,invalid_request_count,timeout_count,notes
P2__reforecast__version_4_0__htessel_lisflood__ensemble_perturbed_reforecast,reforecast,P2,cems-glofas-reforecast,version_4_0,htessel_lisflood,ensemble_perturbed_reforecast,not_found,,,not_found,,,,not_tested,not_tested,none,3,0,0,0,0,no anchor in tested points
P2__reforecast__version_4_0__lisflood__control_reforecast,reforecast,P2,cems-glofas-reforecast,version_4_0,lisflood,control_reforecast,found,2021-01-04,2021-01-04,not_found,,,,not_tested,not_tested,none,5,0,0,0,0,no anchor in tested points
P2__reforecast__version_4_0__lisflood__ensemble_perturbed_reforecast,reforecast,P2,cems-glofas-reforecast,version_4_0,lisflood,ensemble_perturbed_reforecast,found,2021-01-04,2021-01-04,not_found,,,,not_tested,not_tested,none,5,0,0,0,0,no anchor in tested points
P3__forecast__version_2_1__htessel_lisflood__control_forecast,forecast,P3,cems-glofas-forecast,version_2_1,htessel_lisflood,control_forecast,not_found,,,not_found,,,,not_tested,not_tested,none,3,0,0,0,0,no anchor in tested points
P3__forecast__version_2_1__htessel_lisflood__ensemble_perturbed_forecasts,forecast,P3,cems-glofas-forecast,version_2_1,htessel_lisflood,ensemble_perturbed_forecasts,not_found,,,not_found,,,,not_tested,not_tested,none,3,0,0,0,0,no anchor in tested points
P3__forecast__version_2_1__lisflood__control_forecast,forecast,P3,cems-glofas-forecast,version_2_1,lisflood,control_forecast,not_found,,,not_found,,,,not_tested,not_tested,none,3,0,0,0,0,no anchor in tested points
P3__forecast__version_2_1__lisflood__ensemble_perturbed_forecasts,forecast,P3,cems-glofas-forecast,version_2_1,lisflood,ensemble_perturbed_forecasts,not_found,,,not_found,,,,not_tested,not_tested,none,3,0,0,0,0,no anchor in tested points
P3__historical__version_2_1__htessel_lisflood__consolidated,historical,P3,cems-glofas-historical,version_2_1,htessel_lisflood,consolidated,found,2019-10-30,2019-11-06,not_found,,,,not_tested,not_tested,none,17,0,0,0,0,no anchor in tested points
P3__historical__version_2_1__htessel_lisflood__intermediate,historical,P3,cems-glofas-historical,version_2_1,htessel_lisflood,intermediate,found,2019-12-24,2020-01-16,not_found,,,,not_tested,not_tested,none,18,0,0,0,0,no anchor in tested points
P3__historical__version_2_1__lisflood__consolidated,historical,P3,cems-glofas-historical,version_2_1,lisflood,consolidated,not_found,,,not_found,,,,not_tested,not_tested,none,3,0,0,0,0,no anchor in tested points
P3__historical__version_2_1__lisflood__intermediate,historical,P3,cems-glofas-historical,version_2_1,lisflood,intermediate,not_found,,,not_found,,,,not_tested,not_tested,none,3,0,0,0,0,no anchor in tested points
P3__reforecast__version_2_2__htessel_lisflood__control_reforecast,reforecast,P3,cems-glofas-reforecast,version_2_2,htessel_lisflood,control_reforecast,not_found,,,not_found,,,,not_tested,not_tested,none,3,0,0,0,0,no anchor in tested points
P3__reforecast__version_2_2__htessel_lisflood__ensemble_perturbed_reforecast,reforecast,P3,cems-glofas-reforecast,version_2_2,htessel_lisflood,ensemble_perturbed_reforecast,not_found,,,not_found,,,,not_tested,not_tested,none,3,0,0,0,0,no anchor in tested points
P3__reforecast__version_2_2__lisflood__control_reforecast,reforecast,P3,cems-glofas-reforecast,version_2_2,lisflood,control_reforecast,not_found,,,not_found,,,,not_tested,not_tested,none,3,0,0,0,0,no anchor in tested points
P3__reforecast__version_2_2__lisflood__ensemble_perturbed_reforecast,reforecast,P3,cems-glofas-reforecast,version_2_2,lisflood,ensemble_perturbed_reforecast,not_found,,,not_found,,,,not_tested,not_tested,none,3,0,0,0,0,no anchor in tested points
