combo_id,lane,priority,dataset,system_version,hydrological_model,product_type,baseline_anchor_status,baseline_earliest,baseline_latest,refined_anchor_status,refined_anchor_date,refined_earliest,refined_latest,lower_bound_check,upper_bound_check,boundary_confidence,attempts_total,attempts_ok,attempts_error,invalid_request_count,timeout_count,notes
P1__forecast__version_3_1__htessel_lisflood__control_forecast,forecast,P1,cems-glofas-forecast,version_3_1,htessel_lisflood,control_forecast,not_found,,,not_found,,,,not_tested,not_tested,none,3,0,0,0,0,no anchor in tested points
P1__forecast__version_3_1__htessel_lisflood__ensemble_perturbed_forecasts,forecast,P1,cems-glofas-forecast,version_3_1,htessel_lisflood,ensemble_perturbed_forecasts,not_found,,,not_found,,,,not_tested,not_tested,none,3,0,0,0,0,no anchor in tested points
P1__forecast__version_3_1__lisflood__control_forecast,forecast,P1,cems-glofas-forecast,version_3_1,lisflood,control_forecast,not_found,,,not_found,,,,not_tested,not_tested,none,3,0,0,0,0,no anchor in tested points
P1__forecast__version_3_1__lisflood__ensemble_perturbed_forecasts,forecast,P1,cems-glofas-forecast,version_3_1,lisflood,ensemble_perturbed_forecasts,not_found,,,not_found,,,,not_tested,not_tested,none,3,0,0,0,0,no anchor in tested points
P1__historical__version_3_1__htessel_lisflood__consolidated,historical,P1,cems-glofas-historical,version_3_1,htessel_lisflood,consolidated,not_found,,,not_found,,,,not_tested,not_tested,none,3,0,0,0,0,no anchor in tested points
P1__historical__version_3_1__htessel_lisflood__intermediate,historical,P1,cems-glofas-historical,version_3_1,htessel_lisflood,intermediate,not_found,,,not_found,,,,not_tested,not_tested,none,3,0,0,0,0,no anchor in tested points
P1__historical__version_3_1__lisflood__consolidated,historical,P1,cems-glofas-historical,version_3_1,lisflood,consolidated,found,2021-02-08,2021-06-15,not_found,,,,not_tested,not_tested,none,16,0,0,0,0,no anchor in tested points
P1__historical__version_3_1__lisflood__intermediate,historical,P1,cems-glofas-historical,version_3_1,lisflood,intermediate,found,2021-06-04,2021-06-15,not_found,,,,not_tested,not_tested,none,17,0,0,0,0,no anchor in tested points
P1__reforecast__version_3_1__htessel_lisflood__control_reforecast,reforecast,P1,cems-glofas-reforecast,version_3_1,htessel_lisflood,control_reforecast,not_found,,,not_found,,,,not_tested,not_tested,none,3,0,0,0,0,no anchor in tested points
P1__reforecast__version_3_1__htessel_lisflood__ensemble_perturbed_reforecast,reforecast,P1,cems-glofas-reforecast,version_3_1,htessel_lisflood,ensemble_perturbed_reforecast,not_found,,,not_found,,,,not_tested,not_tested,none,3,0,0,0,0,no anchor in tested points
P1__reforecast__version_3_1__lisflood__control_reforecast,reforecast,P1,cems-glofas-reforecast,version_3_1,lisflood,control_reforecast,not_found,,,not_found,,,,not_tested,not_tested,none,3,0,0,0,0,no anchor in tested points
P1__reforecast__version_3_1__lisflood__ensemble_perturbed_reforecast,reforecast,P1,cems-glofas-reforecast,version_3_1,lisflood,ensemble_perturbed_reforecast,not_found,,,not_found,,,,not_tested,not_tested,none,3,0,0,0,0,no anchor in tested points
P2__forecast__operational__htessel_lisflood__control_forecast,forecast,P2,cems-glofas-forecast,operational,htessel_lisflood,control_forecast,found,2019-11-05,2019-12-06,not_found,,,,not_tested,not_tested,none,10,0,0,0,0,no anchor in tested points
P2__forecast__operational__htessel_lisflood__ensemble_perturbed_forecasts,forecast,P2,cems-glofas-forecast,operational,htessel_lisflood,ensemble_perturbed_forecasts,found,2019-11-05,2019-12-06,not_found,,,,not_tested,not_tested,none,10,0,0,0,0,no anchor in tested points
P2__forecast__operational__lisflood__control_forecast,forecast,P2,cems-glofas-forecast,operational,lisflood,control_forecast,found,2023-03-27,2023-03-27,not_found,,,,not_tested,not_tested,none,15,0,0,0,0,no anchor in tested points
P2__forecast__operational__lisflood__ensemble_perturbed_forecasts,forecast,P2,cems-glofas-forecast,operational,lisflood,ensemble_perturbed_forecasts,not_found,,,not_found,,,,not_tested,not_tested,none,13,0,0,0,0,no anchor in tested points
P2__historical__version_4_0__htessel_lisflood__consolidated,historical,P2,cems-glofas-historical,version_4_0,htessel_lisflood,consolidated,not_found,,,not_found,,,,not_tested,not_tested,none,3,0,0,0,0,no anchor in tested points
P2__historical__version_4_0__htessel_lisflood__intermediate,historical,P2,cems-glofas-historical,version_4_0,htessel_lisflood,intermediate,not_found,,,not_found,,,,not_tested,not_tested,none,3,0,0,0,0,no anchor in tested points
P2__historical__version_4_0__lisflood__consolidated,historical,P2,cems-glofas-historical,version_4_0,lisflood,consolidated,found,1979-09-28,1979-09-28,not_found,,,,not_tested,not_tested,none,16,0,0,0,0,no anchor in tested points
P2__historical__version_4_0__lisflood__intermediate,historical,P2,cems-glofas-historical,version_4_0,lisflood,intermediate,not_found,,,not_found,,,,not_tested,not_tested,none,3,0,0,0,0,no anchor in tested points
P2__reforecast__version_4_0__htessel_lisflood__control_reforecast,reforecast,P2,cems-glofas-reforecast,version_4_0,htessel_lisflood,control_reforecast,not_found,,,not_found,,,,not_tested,not_tested,none,3,0,0,0,0,no anchor in tested points
